AccidentUID,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,CantonCode,AccidentSeverityCategory,AccidentInvolvingMotorcycle
string,,,,,,,
meta,,,,,,,
string,,,,,,,
meta,,,,,,,
B71AF25CE2EC0032E0430A8394270032,2012.0,Feb,Do,Nachmittag,,Leicht,0.0
BAF3335BC560014CE0430A839427014C,2012.0,Mar,So,Vormittag,,Leicht,0.0
BECCBAF1B9A101EEE0430A8394271953,2012.0,Mai,Di,Vormittag,,Leicht,0.0
C0C76DCADDFA0080E0430A83942729A8,2012.0,Mai,Do,Nachmittag,,Schwer,0.0
C46C6959C684014CE0430A839427A6BF,2012.0,Aug,Mo,Abend,,Leicht,1.0
C4741556C51B0000E0430A8394271705,2012.0,Aug,So,Nachmittag,,Leicht,0.0
C474AA0D9EE000EEE0430A8394274822,2012.0,Aug,Fr,Abend,,Leicht,0.0
D01FBB33B7A6002AE0430A8394271291,2012.0,Dez,Di,Nachmittag,,Schwer,0.0
D8BAEC2355E0023CE0430A839427E0B7,2013.0,Apr,Mi,Nachmittag,,Leicht,0.0
E2B8645947320114E0430A83942726C2,2013.0,Aug,Mo,Nachmittag,,Schwer,1.0
E786953427640180E0430A83942731D7,2013.0,Sep,Mi,Nachmittag,,Leicht,0.0
E794ADDEEFF30112E0430A8394277757,2013.0,Okt,Do,Vormittag,,Leicht,0.0
BDDAC07617590022E0430A8394270022,2012.0,Apr,So,Nachmittag,,Leicht,1.0
C423CA509E5201B6E0430A8394277A97,2012.0,Jul,Do,Abend,,Leicht,0.0
C4610241461A006CE0430A8394276051,2012.0,Mai,Fr,Nachmittag,,Schwer,0.0
C46C69597284014CE0430A839427A6BF,2012.0,Aug,Mi,Nachmittag,,Schwer,0.0
C46C6959C673014CE0430A839427A6BF,2012.0,Aug,Fr,Nachmittag,,Leicht,0.0
C46C80C4E31D004AE0430A8394271DEC,2012.0,Aug,Di,Nachmittag,,Leicht,0.0
C46C80C5B64A004AE0430A8394271DEC,2012.0,Okt,Mi,Vormittag,,Leicht,0.0
C474069E0BA400FEE0430A839427FB8A,2012.0,Sep,Fr,Nachmittag,,Leicht,0.0
C474AA0D49FC00EEE0430A8394274822,2012.0,Jul,Di,Nachmittag,,Schwer,0.0
CB88EC506C9A0118E0430A83942717D8,2012.0,Okt,Sa,Vormittag,,Leicht,0.0
CB88EC50B7B60118E0430A83942717D8,2012.0,Nov,Sa,Vormittag,,Leicht,0.0
CFDD5087445F01E6E0430A8394275A3B,2012.0,Dez,Di,Abend,,Leicht,0.0
D01FBB3450C5002AE0430A8394271291,2012.0,Dez,Do,Nachmittag,,Schwer,0.0
D0CC5B9C88800132E0430A83942733EA,2013.0,Jan,Fr,Nachmittag,,Leicht,0.0
D3B6205B4B800184E0430A8394279C39,2013.0,Feb,Do,Nachmittag,,Leicht,0.0
D3C82505A94D0178E0430A839427BB02,2013.0,Jan,So,Vormittag,,Schwer,0.0
D3CA3E6C65D9016EE0430A8394278C27,2013.0,Jan,Mo,Vormittag,,Leicht,0.0
D69ED373D78F0290E0430A839427E4C3,2013.0,Mar,Fr,Vormittag,,Schwer,0.0
DB6971E9171F0150E0430A8394270BCF,2013.0,Mai,So,Abend,,Leicht,0.0
DB7C2A4E907700AEE0430A8394274827,2013.0,Mai,Mo,Abend,,Leicht,0.0
DF6B608BDE3801C2E0430A839427D4F5,2013.0,Jun,Do,Vormittag,,Leicht,0.0
DF6CEE3096AA019AE0430A8394275F8B,2013.0,Jul,Di,Abend,,Leicht,0.0
E54ECE80121F012EE0430A839427D17A,2013.0,Aug,Sa,Nachmittag,,Tot,1.0
E79560C36FB20172E0430A8394275AD7,2013.0,Sep,Mo,Vormittag,,Schwer,0.0
E83855E450210164E0430A8394279EE4,2013.0,Okt,Mi,Nachmittag,,Schwer,0.0
B3ECEDCC9CF50122E0430A8394270122,2012.0,Jan,Do,Nachmittag,,Schwer,0.0
B7171FCF90A800C4E0430A83942700C4,2012.0,Jan,Sa,Vormittag,,Tot,0.0
BAF029133A680066E0430A8394270066,2012.0,Mar,Mo,Abend,,Leicht,0.0
BB07B689D23E0074E0430A8394270074,2012.0,Mar,Di,Vormittag,,Leicht,0.0
C0C76DCAE46C0080E0430A83942729A8,2012.0,Mai,Sa,Nachmittag,,Schwer,1.0
C0C76DCAFCFC0080E0430A83942729A8,2012.0,Mai,Di,Vormittag,,Leicht,0.0
C1A0B8BE6684003EE0430A839427E277,2012.0,Jun,Mo,Nachmittag,,Schwer,0.0
C2E1A2957E1E0060E0430A8394277595,2012.0,Jun,Di,Vormittag,,Leicht,0.0
C38A92D5FC960108E0430A83942783C2,2012.0,Jun,Mi,Nachmittag,,Schwer,0.0
C424D69AF77000D6E0430A839427174C,2012.0,Jun,Di,Vormittag,,Leicht,0.0
C46C6958B0D8014CE0430A839427A6BF,2012.0,Jun,Sa,Nachmittag,,Leicht,0.0
C47415576FFF0000E0430A8394271705,2012.0,Aug,Mi,Nachmittag,,Leicht,0.0
C47432E520D001CCE0430A8394272063,2012.0,Jul,So,Vormittag,,Leicht,0.0
C47432E643C801CCE0430A8394272063,2012.0,Sep,Sa,Abend,,Leicht,0.0
C47432E67DF201CCE0430A8394272063,2012.0,Okt,Di,Abend,,Schwer,0.0
C4A30E893F5001A6E0430A83942716CD,2012.0,Jul,Mi,Nachmittag,,Schwer,0.0
CB716656DE75016AE0430A83942710FD,2012.0,Okt,Mi,Vormittag,,Leicht,0.0
CC66D984728301DEE0430A83942786C7,2012.0,Okt,Sa,Abend,,Leicht,0.0
D01FBB342AAD002AE0430A8394271291,2012.0,Dez,Do,Nachmittag,,Leicht,0.0
D6889F7CA667029CE0430A839427A562,2013.0,Mar,Sa,Vormittag,,Leicht,0.0
